source_id,target_id,edge_kind,shared_length_m,centroid_dist_m,walk_dist_m,walk_time_min,cross_arterial,cross_rail,cross_river,cross_elevated,has_crossing_facility,crossing_type,barrier_cost,angular_cost,edge_cost,edge_conductance,edge_weight_norm
plot_10046,plot_10047,parcel_touch,75.198,52.985,64.642,0.7757,0,0,0,0,0,,0.0,0.0,0.7757,0.9111169632567163,0.202092
plot_10046,plot_10066,parcel_touch,20.472,106.264,129.642,1.5557,0,0,0,0,0,,0.0,0.0,1.5557,0.829705882022931,0.184035
plot_10046,plot_17190,proximity_bridge,0.0,122.412,149.343,1.7921,0,0,0,0,0,,0.0,0.0,1.7921,0.32259980044514514,0.071555
plot_10046,plot_17304,proximity_bridge,0.0,131.479,160.404,1.9248,0,0,0,0,0,,0.0,0.0,1.9248,0.3175034064044106,0.070425
plot_10046,plot_19856,parcel_touch,44.106,86.138,105.089,1.2611,0,0,0,0,0,,0.0,0.0,1.2611,0.8595622766059332,0.190657
plot_10046,plot_6593,parcel_touch,88.444,32.083,39.141,0.4697,0,0,0,0,0,,0.0,0.0,0.4697,0.9451950222774091,0.209651
plot_10046,plot_7070,proximity_bridge,0.0,122.171,149.049,1.7886,0,0,0,0,0,,0.0,0.0,1.7886,0.3227353208186184,0.071585
plot_10047,plot_10046,parcel_touch,75.198,52.985,64.642,0.7757,0,0,0,0,0,,0.0,0.0,0.7757,0.9111169632567163,0.196048
plot_10047,plot_10065,proximity_bridge,0.0,124.011,151.293,1.8155,0,0,0,0,0,,0.0,0.0,1.8155,0.3216952108436761,0.06922
plot_10047,plot_10066,parcel_touch,48.854,82.419,100.552,1.2066,0,0,0,0,0,,0.0,0.0,1.2066,0.865202236461168,0.186168
plot_10047,plot_17191,proximity_bridge,0.0,100.714,122.871,1.4745,0,0,0,0,0,,0.0,0.0,1.4745,0.33513202112723967,0.072111
plot_10047,plot_17338,proximity_bridge,0.0,114.681,139.911,1.6789,0,0,0,0,0,,0.0,0.0,1.6789,0.32701189523725877,0.070364
plot_10047,plot_19279,proximity_bridge,0.0,123.671,150.878,1.8105,0,0,0,0,0,,0.0,0.0,1.8105,0.321888285886903,0.069262
plot_10047,plot_19856,proximity_bridge,0.0,94.51,115.302,1.3836,0,0,0,0,0,,0.0,0.0,1.3836,0.3388076516574355,0.072902
plot_10047,plot_6593,proximity_bridge,0.0,84.457,103.038,1.2365,0,0,0,0,0,,0.0,0.0,1.2365,0.344841381351203,0.0742
plot_10047,plot_7070,parcel_touch,59.473,71.644,87.406,1.0489,0,0,0,0,0,,0.0,0.0,1.0489,0.881731227624158,0.189725
plot_10048,plot_10063,proximity_bridge,0.0,142.526,173.882,2.0866,0,0,0,0,0,,0.0,0.0,2.0866,0.3113982211973779,0.110739
plot_10048,plot_13,proximity_bridge,0.0,98.865,120.616,1.4474,0,1,0,0,0,,5.0,0.0,6.4474,0.18452344841917886,0.06562
plot_10048,plot_19640,proximity_bridge,0.0,143.908,175.568,2.1068,0,0,0,0,0,,0.0,0.0,2.1068,0.3106443060235392,0.11047
plot_10048,plot_2759,proximity_bridge,0.0,145.408,177.397,2.1288,0,0,0,0,0,,0.0,0.0,2.1288,0.3098252866369138,0.110179
plot_10048,plot_6299,parcel_touch,135.331,86.469,105.493,1.2659,0,0,0,0,0,,0.0,0.0,1.2659,0.8590673112983016,0.305499
plot_10048,plot_6536,parcel_touch,57.933,101.586,123.935,1.4872,0,0,0,0,0,,0.0,0.0,1.4872,0.8365541722855142,0.297493
plot_10063,plot_10048,proximity_bridge,0.0,142.526,173.882,2.0866,0,0,0,0,0,,0.0,0.0,2.0866,0.3113982211973779,0.091439
plot_10063,plot_10064,parcel_touch,64.883,68.202,83.207,0.9985,0,0,0,0,0,,0.0,0.0,0.9985,0.8870800967647398,0.260482
plot_10063,plot_11966,proximity_bridge,0.0,85.132,103.862,1.2463,0,0,0,0,0,,0.0,0.0,1.2463,0.34443608624696476,0.10114
plot_10063,plot_11969,proximity_bridge,0.0,155.82,190.101,2.2812,0,0,0,0,0,,0.0,0.0,2.2812,0.3042106980755346,0.089329
plot_10063,plot_16,proximity_bridge,0.0,115.593,141.023,1.6923,0,0,0,0,0,,0.0,0.0,1.6923,0.3264864826546454,0.09587
plot_10063,plot_19640,parcel_touch,27.299,64.501,78.691,0.9443,0,0,0,0,0,,0.0,0.0,0.9443,0.8928684690959482,0.262182
plot_10063,plot_6299,proximity_bridge,0.0,94.104,114.807,1.3777,0,0,0,0,0,,0.0,0.0,1.3777,0.33904761241089204,0.099558
plot_10064,plot_10063,parcel_touch,64.883,68.202,83.207,0.9985,0,0,0,0,0,,0.0,0.0,0.9985,0.8870800967647398,0.272279
plot_10064,plot_11966,proximity_bridge,0.0,109.305,133.352,1.6002,0,0,0,0,0,,0.0,0.0,1.6002,0.33011482454581004,0.101325
plot_10064,plot_16,parcel_touch,67.514,82.513,100.666,1.208,0,0,0,0,0,,0.0,0.0,1.208,0.8650568946944928,0.265519
