unit_id,t_id,global_state,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_18061,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,1.115525259273174e-21,0.0,0.0
plot_18068,WD_AM,G7,0.0,7.851376210889302e-31,0.0,0.0,3.394995858511811e-60,0.0,0.9999999999989999
plot_18069,WD_AM,G7,0.0,1.7676581882931504e-32,0.0,0.0,4.6419582268623725e-59,0.0,0.9999999999989999
plot_18070,WD_AM,G7,0.0,1.0595282100445809e-33,0.0,0.0,1.7465325204744572e-58,0.0,0.9999999999989999
plot_18071,WD_AM,G7,0.0,1.5107924847373042e-32,0.0,0.0,1.289937532694661e-59,0.0,0.9999999999989999
plot_18072,WD_AM,G7,0.0,0.0,0.0,0.0,2.3922746759199637e-61,0.0,0.9999999999989999
plot_18073,WD_AM,G7,0.0,0.0,0.0,0.0,4.804451351507466e-25,0.0,0.9999999999989999
plot_18074,WD_AM,G7,0.0,7.272434100831326e-32,0.0,0.0,7.83185010257093e-59,0.0,0.9999999999989999
plot_18075,WD_AM,G7,0.0,4.1233818656397994e-29,0.0,0.0,1.5448036640147508e-59,0.0,0.9999999999989999
plot_18076,WD_AM,G7,0.0,1.0760221215801562e-30,0.0,0.0,4.4639806678072676e-60,0.0,0.9999999999989999
plot_18077,WD_AM,G7,0.0,7.641689346552937e-29,0.0,0.0,2.0546598907618144e-59,0.0,0.9999999999989999
plot_18078,WD_AM,G7,0.0,3.0769891182844387e-33,0.0,0.0,2.93837711634016e-60,0.0,0.9999999999989999
plot_18079,WD_AM,G7,0.0,2.5396148658790793e-28,0.0,0.0,1.1057842070236842e-58,0.0,0.9999999999989999
plot_18080,WD_AM,G6,0.0,1.9081745937032095e-23,0.0,0.0,6.039808574044666e-39,0.9999999999989999,0.0
plot_18081,WD_AM,G6,0.0,1.4508652446359577e-21,0.0,0.0,4.5852704594467655e-38,0.9999999999989999,0.0
plot_18084,WD_AM,G7,0.0,2.4418637916567215e-30,0.0,0.0,2.4225847543709586e-59,0.0,0.9999999999989999
plot_18086,WD_AM,G7,0.0,5.056644215104134e-31,0.0,0.0,2.3123054841286228e-60,0.0,0.9999999999989999
plot_18087,WD_AM,G7,0.0,9.964081791776066e-32,0.0,0.0,2.657015015914497e-61,0.0,0.9999999999989999
plot_18088,WD_AM,G7,0.0,0.0,0.0,0.0,7.356208834854587e-63,0.0,0.9999999999989999
plot_18095,WD_AM,G1,0.9999999999993257,3.6196940931925736e-14,0.0,0.0,1.0319454714550241e-36,0.0,0.0
plot_181,WD_AM,G6,0.0,1.7555617244967247e-21,0.0,0.0,1.815414984451825e-37,0.9999999999989999,0.0
plot_18100,WD_AM,G6,0.0,4.452807855277875e-20,1.160454528594304e-19,0.0,2.678267948020035e-24,0.9999999999989999,0.0
plot_18101,WD_AM,G3,4.832149879461897e-09,0.0,0.9999999951670377,0.0,3.2956821511306726e-46,0.0,0.0
plot_18102,WD_AM,G2,0.0,0.9999999999989999,0.0,0.0,6.473455965799978e-30,0.0,0.0
plot_18103,WD_AM,G7,0.0,0.0,0.0,0.0,4.926803802426439e-61,0.0,0.9999999999989999
