unit_id,network_layer,function_type,probability,gap_score,stitch_score,fit_score,compatibility_weight,raw_score
plot_16703,slow,productive_mix,0.051539078016636944,0.09065595865403027,0.6790016988021369,0.36351296348167356,0.72,0.016110893069821337
plot_16703,fast,__network_total__,0.06691241337565954,,0.19773577433562084,,,0.020916531269553302
plot_16703,fast,life_service,0.015709380208086834,0.12483855197111848,0.19773577433562084,0.7104769915372346,0.28,0.004910684367383442
plot_16703,fast,public_activity,0.024816180370836823,0.13417347239682284,0.19773577433562084,0.5622929716046393,0.52,0.007757430744626268
plot_16703,fast,community_living,0.005541054230860966,0.09560827551540048,0.19773577433562084,0.4164587162042316,0.22,0.001732109607755597
plot_16703,fast,productive_mix,0.020845798565874925,0.09065595865403027,0.19773577433562084,0.36351296348167356,1.0,0.006516306549787997
plot_19199,walk,__network_total__,0.40157371942063885,,0.5792779523500742,,,0.10724858350711171
plot_19199,walk,life_service,0.139253062871163,0.12200223772517682,0.5792779523500742,0.5262307743171996,1.0,0.037190416154487614
plot_19199,walk,public_activity,0.14205186900405745,0.12723617122891384,0.5792779523500742,0.5418162641692915,0.95,0.03793789533140438
plot_19199,walk,community_living,0.0909001032151811,0.09139104279371404,0.5792779523500742,0.7396194724411904,0.62,0.02427675626916879
plot_19199,walk,productive_mix,0.02936868433023727,0.08372273932630078,0.5792779523500742,0.4492394050336448,0.36,0.007843515752050913
plot_19199,slow,__network_total__,0.4787069877826124,,0.6265886115228714,,,0.12784862124123045
plot_19199,slow,life_service,0.11748836410810731,0.12200223772517682,0.6265886115228714,0.5262307743171996,0.78,0.03137770232409958
plot_19199,slow,public_activity,0.1390968503063081,0.12723617122891384,0.6265886115228714,0.5418162641692915,0.86,0.03714869635187983
plot_19199,slow,community_living,0.158587219490973,0.09139104279371404,0.6265886115228714,0.7396194724411904,1.0,0.0423540033378592
plot_19199,slow,productive_mix,0.06353455387722395,0.08372273932630078,0.6265886115228714,0.4492394050336448,0.72,0.01696821922739184
plot_19199,fast,__network_total__,0.11971929279674874,,0.30076637624105373,,,0.03197351806151229
plot_19199,fast,life_service,0.020244407543024544,0.12200223772517682,0.30076637624105373,0.5262307743171996,0.28,0.005406688555372834
plot_19199,fast,public_activity,0.040370950488768424,0.12723617122891384,0.30076637624105373,0.5418162641692915,0.52,0.01078189892755623
plot_19199,fast,community_living,0.016747024344847636,0.09139104279371404,0.30076637624105373,0.7396194724411904,0.22,0.004472639896692687
plot_19199,fast,productive_mix,0.04235691042010817,0.08372273932630078,0.30076637624105373,0.4492394050336448,1.0,0.011312290681890543
plot_7640,walk,__network_total__,0.4531728934264482,,0.7040891793055223,,,0.11325957913631708
plot_7640,walk,life_service,0.1916161141689346,0.12007204162818409,0.7040891793055223,0.5664655231521275,1.0,0.04788980268086666
plot_7640,walk,public_activity,0.132448228619165,0.12496034158513208,0.7040891793055223,0.39603511438118005,0.95,0.0331022240040314
plot_7640,walk,community_living,0.09899331862376393,0.08939545727657827,0.7040891793055223,0.6339895402755025,0.62,0.024740980246768858
plot_7640,walk,productive_mix,0.030115232014584666,0.08007312131830663,0.7040891793055223,0.3708346471266263,0.36,0.007526572204650177
plot_7640,slow,__network_total__,0.45631734783179523,,0.6566841834613877,,,0.1140454592887467
plot_7640,slow,life_service,0.13939767096583397,0.12007204162818409,0.6566841834613877,0.5664655231521275,0.78,0.0348390686539058
plot_7640,slow,public_activity,0.1118278271672866,0.12496034158513208,0.6566841834613877,0.39603511438118005,0.86,0.027948654529910362
plot_7640,slow,community_living,0.1489165891592242,0.08939545727657827,0.6566841834613877,0.6339895402755025,1.0,0.037218091503804895
plot_7640,slow,productive_mix,0.05617526053945042,0.08007312131830663,0.6566841834613877,0.3708346471266263,0.72,0.014039644601125634
plot_7640,fast,__network_total__,0.0905097587417566,,0.2601836955452188,,,0.022620720108195845
plot_7640,fast,life_service,0.01982633627846061,0.12007204162818409,0.2601836955452188,0.5664655231521275,0.28,0.004955112133329751
plot_7640,fast,public_activity,0.02679034464708944,0.12496034158513208,0.2601836955452188,0.39603511438118005,0.52,0.006695597207291281
plot_7640,fast,community_living,0.012980436081261471,0.08939545727657827,0.2601836955452188,0.6339895402755025,0.22,0.0032441453337017654
plot_7640,fast,productive_mix,0.03091264173494508,0.08007312131830663,0.2601836955452188,0.3708346471266263,1.0,0.007725865433873049
plot_12021,walk,__network_total__,0.7050674152212086,,0.5991119008768719,,,0.06801837950913708
plot_12021,walk,life_service,0.3899124551052591,0.0998930850566561,0.5991119008768719,0.628520391740544,1.0,0.0376151454089934
plot_12021,walk,public_activity,0.1792411995863829,0.1060186815741514,0.5991119008768719,0.28656261232575087,0.95,0.01729153223357307
plot_12021,walk,community_living,0.060762520404484946,0.0739272627585333,0.5991119008768719,0.21346523429373668,0.62,0.005861805670748889
plot_12021,walk,productive_mix,0.07515124012508173,0.07591890671631515,0.5991119008768719,0.44276307573733753,0.36,0.007249896195821728
plot_12021,slow,__network_total__,0.10168283930273807,,0.085237874201866,,,0.009809419360403018
plot_12021,slow,life_service,0.04326994810902602,0.0998930850566561,0.085237874201866,0.628520391740544,0.78,0.004174284172382314
plot_12021,slow,public_activity,0.023085397196479934,0.1060186815741514,0.085237874201866,0.28656261232575087,0.86,0.002227065488676278
plot_12021,slow,community_living,0.013943402168909609,0.0739272627585333,0.085237874201866,0.21346523429373668,1.0,0.0013451304086657648
plot_12021,slow,productive_mix,0.02138409182832251,0.07591890671631515,0.085237874201866,0.44276307573733753,0.72,0.0020629392906786614
plot_12021,fast,__network_total__,0.1932497454760532,,0.264574979365509,,,0.01864294710557621
plot_12021,fast,life_service,0.04821320072526566,0.0998930850566561,0.264574979365509,0.628520391740544,0.28,0.004651163439814397
plot_12021,fast,public_activity,0.04332697858553265,0.1060186815741514,0.264574979365509,0.28656261232575087,0.52,0.004179785944994225
plot_12021,fast,community_living,0.009521548755723997,0.0739272627585333,0.264574979365509,0.21346523429373668,0.22,0.0009185509113031345
plot_12021,fast,productive_mix,0.09218801740953086,0.07591890671631515,0.264574979365509,0.44276307573733753,1.0,0.008893446809464453
plot_19184,walk,__network_total__,0.5715418708577338,,0.5641667206632541,,,0.07636992296710035
plot_19184,walk,life_service,0.2662078395247077,0.12147305028650773,0.5641667206632541,0.5190482605459892,1.0,0.03557092355671118
plot_19184,walk,public_activity,0.20592919019113234,0.1328996848283693,0.5641667206632541,0.38631110405061353,0.95,0.027516437891019874
plot_19184,walk,community_living,0.07203902853953738,0.09470547266657524,0.5641667206632541,0.2905814713355248,0.62,0.009625917786098047
plot_19184,walk,productive_mix,0.02736581260235633,0.09271398689098298,0.5641667206632541,0.19419025279409743,0.36,0.0036566437332712478
plot_19184,slow,__network_total__,0.3724660269975742,,0.3719260300736056,,,0.049769235186527816
plot_19184,slow,life_service,0.13688774012360663,0.12147305028650773,0.3719260300736056,0.5190482605459892,0.78,0.018291059153184054
plot_19184,slow,public_activity,0.12289716591289566,0.1328996848283693,0.3719260300736056,0.38631110405061353,0.86,0.016421626432298667
plot_19184,slow,community_living,0.07659938246729132,0.09470547266657524,0.3719260300736056,0.2905814713355248,1.0,0.010235276252946006
plot_19184,slow,productive_mix,0.036081738493780546,0.09271398689098298,0.3719260300736056,0.19419025279409743,0.72,0.004821273348099083
plot_19184,fast,__network_total__,0.055992102144691795,,0.10936625649100074,,,0.007481713493954184
plot_19184,fast,life_service,0.014449564395576342,0.12147305028650773,0.10936625649100074,0.5190482605459892,0.28,0.0019307633894647827
plot_19184,fast,public_activity,0.021851111476621807,0.1328996848283693,0.10936625649100074,0.38631110405061353,0.52,0.002919764561974697
plot_19184,fast,community_living,0.004955354417728356,0.09470547266657524,0.10936625649100074,0.2905814713355248,0.22,0.0006621387766195609
plot_19184,fast,productive_mix,0.014736071854765288,0.09271398689098298,0.10936625649100074,0.19419025279409743,1.0,0.0019690467658951437
plot_17084,walk,__network_total__,0.4513171563181448,,0.6825595111650611,,,0.1287213115539618
plot_17084,walk,life_service,0.17967872046413558,0.12331447334181186,0.6825595111650611,0.6088505240047594,1.0,0.05124662387125687
plot_17084,walk,public_activity,0.1744603675901583,0.13375214557592474,0.6825595111650611,0.5737206884061271,0.95,0.04975828420438138
plot_17084,walk,community_living,0.07110424876862391,0.09539163299221932,0.6825595111650611,0.5023676553177238,0.62,0.020279823247190104
plot_17084,walk,productive_mix,0.02607381949522704,0.091993885523413,0.6825595111650611,0.328981352581711,0.36,0.007436580231133455
plot_17084,slow,__network_total__,0.4829382409987499,,0.709021865286127,,,0.13774004136705384
plot_17084,slow,life_service,0.1455828961026969,0.12331447334181186,0.709021865286127,0.6088505240047594,0.78,0.04152206727313789
plot_17084,slow,public_activity,0.16405547736525247,0.13375214557592474,0.709021865286127,0.5737206884061271,0.86,0.04679067905670393
plot_17084,slow,community_living,0.11913050110563903,0.09539163299221932,0.709021865286127,0.5023676553177238,1.0,0.033977512562338275
plot_17084,slow,productive_mix,0.05416936642516151,0.091993885523413,0.709021865286127,0.328981352581711,0.72,0.015449782474873755
plot_17084,fast,__network_total__,0.06574460268310527,,0.18431875347983104,,,0.01875118498486203
plot_17084,fast,life_service,0.013585751905142896,0.12331447334181186,0.18431875347983104,0.6088505240047594,0.28,0.0038748267802254186
plot_17084,fast,public_activity,0.025787279264563593,0.13375214557592474,0.18431875347983104,0.5737206884061271,0.52,0.007354855364733797
plot_17084,fast,community_living,0.006813269151295811,0.09539163299221932,0.18431875347983104,0.5023676553177238,0.22,0.0019432297860769037
plot_17084,fast,productive_mix,0.019558302362102965,0.091993885523413,0.18431875347983104,0.328981352581711,1.0,0.005578273053825909
plot_16705,walk,__network_total__,0.46808468826873384,,0.6873208243113764,,,0.12485515137769486
plot_16705,walk,life_service,0.1817399638523374,0.12469618229391496,0.6873208243113764,0.5656135543658146,1.0,0.0484766352475368
plot_16705,walk,public_activity,0.19855548473210496,0.13447329935352909,0.6873208243113764,0.6031769689990956,0.95,0.05296194411910752
plot_16705,walk,community_living,0.05860706131373545,0.09561489519443374,0.6873208243113764,0.38366769322582317,0.62,0.01563262737602574
