unit_id,morph_state,p_M1,p_M2,p_M3,p_M4,p_M5,p_M6,p_M7,building_coverage,avg_height,road_density,green_blue_ratio,heritage_ratio,barrier_index,permeability_index,edge_conductance_mean
plot_10391,M1 风貌占比高·覆盖中高·渗透偏高,0.999999994728344,3.869466810526686e-10,0.0,3.852517966896467e-09,1.025986018672322e-09,6.205566616254022e-12,0.0,0.3783219168774777,19.74440189426621,0.0,0.0,1.0,3.6,0.2389732475564887,0.5050283056810859
plot_10937,M1 风貌占比高·覆盖中高·渗透偏高,0.9999992799399724,8.096059522827517e-09,0.0,1.0084132115015906e-08,7.018768412572194e-07,2.994715721508519e-12,0.0,0.348289432700427,44.546315198228776,0.0,0.0,1.0000000000000002,3.25,0.2033376526310014,0.4258175197355586
plot_9005,M7 无建筑·阻隔高·连通低,0.0,6.813646555795515e-92,6.033872539108436e-258,2.795907717765169e-298,9.307625096691924e-34,2.102048381405249e-29,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.1517631256427612,0.303999079206136
plot_11131,M2 渗透高·连通高·阻隔中高,0.0,0.9999994502559684,0.0,0.0,0.0,5.497440313546966e-07,0.0,0.2379148949025301,67.90654995910485,0.0,0.1011442733769681,0.0,6.666666666666667,0.2022867213472491,0.3862034178087017
plot_11074,M7 无建筑·阻隔高·连通低,0.0,5.955925891249937e-94,1.436968653946867e-252,2.535284975318605e-299,5.569520346866203e-32,5.081278761935568e-28,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0934443524048411,0.1702012275663136
plot_11099,M6 蓝绿高·路网密·覆盖低,0.0,2.943836865888164e-28,0.0,0.0,0.0,1.0,0.0,0.066606153139877,44.790761904792895,0.0339593746317309,0.894759461665935,0.0,4.0,0.3630597618722819,0.6622274503356125
plot_11098,M6 蓝绿高·路网密·覆盖低,0.0,0.2518773862905861,0.0,0.0,0.0,0.7481226137094139,0.0,0.0095485563647633,11.561806142859272,0.0,0.1416374699590689,0.0,9.6,0.1280620846122087,0.2429827658049083
plot_11216,M3 建成主体·路网稀·风貌无,0.0,4.559878175202312e-15,0.9999997239127064,2.7608723709697534e-07,1.6295622423999125e-23,5.161257940561695e-14,0.0,0.6278831817058678,64.53355773525371,0.0,0.0,0.0,10.0,0.1316950196153723,0.263447329304002
plot_17486,M6 蓝绿高·路网密·覆盖低,0.0,1.007559851111664e-12,0.0,7.661737968084423e-05,7.070586722499738e-261,0.99992338261931,0.0,0.1032306816617671,26.383902733382683,0.040091794734066,0.0,0.0,2.857142857142857,0.2196671446498868,0.4228276874446813
plot_11221,M3 建成主体·路网稀·风貌无,0.0,2.7013118831773237e-09,0.9999998149380512,1.7842069467628048e-07,3.9398168203074854e-09,1.2539409183551556e-13,0.0,0.4016229969781693,76.40007961932244,0.0,0.0,0.0,5.0,0.1837183784267255,0.3773614659482789
plot_11498,M3 建成主体·路网稀·风貌无,0.0,1.8675384941850926e-10,0.9999997997926654,1.8860093751552346e-07,1.1419530907226692e-08,1.119961545782974e-13,0.0,0.3070035587353595,44.808699666515096,0.0,0.0,0.0,3.333333333333333,0.2277981210504708,0.479265022087466
plot_9763,M3 建成主体·路网稀·风貌无,0.0,1.5370364078680863e-09,0.9999996229770768,3.754838433036528e-07,2.0382393972276117e-12,4.607312147092028e-15,0.0,0.3852618151516724,30.994488478397923,0.0,0.0,0.0,5.714285714285714,0.1546942802227088,0.31716597192348
plot_17664,M3 建成主体·路网稀·风貌无,0.0,3.590243009724795e-12,0.9999999831687366,1.6827617381555752e-08,4.359972204394609e-40,5.5177531748493145e-14,0.0,0.7975331463412245,31.935090048239463,0.0,0.0,0.0,2.5,0.2130033280753081,0.447345256834018
plot_9764,M2 渗透高·连通高·阻隔中高,0.0,0.9996729771262166,0.0,3.494833169879242e-07,2.5959283946259388e-08,0.0003266474311829,0.0,0.1304883711688504,63.6645183731429,0.008423306742228,0.0,0.0,1.25,0.2698859391075217,0.5603322094394264
plot_11496,M1 风貌占比高·覆盖中高·渗透偏高,0.9999999771164048,1.8905357504169446e-10,0.0,2.269438864799333e-08,5.673851510731793e-15,1.466347217159124e-13,0.0,0.4454720743251115,22.845492751976938,0.0,0.0,0.9999999999999998,0.0,0.2611162330011027,0.556676806669117
