unit_id,step,tv_from_baseline_anchor,argmax_component,p_G1,p_G2,p_G3,p_G4,p_G5,p_G6,p_G7
plot_15696,2,0.3281202466918256,2,0.003021428122582508,0.22961177672216931,0.6718797533081744,0.005797212089799616,0.08968982975727414,3.2584958393809577e-23,5.4341726553650985e-105
plot_15697,2,0.5873596482462675,4,0.016094664465930143,0.3165395760107093,0.0026860735617286317,0.1317315437449722,0.4126403517537325,3.4618844391067947e-16,0.12030779046292683
plot_15698,2,0.17474791083723704,1,0.0029011937259168126,0.8252520891627411,0.006873632429635875,0.0036475986274179645,0.004655944370028786,7.68505236757e-17,0.15666954168425942
plot_15700,2,0.32928777404806764,2,0.023764417221739092,0.13924036963914302,0.6707122259519324,0.0543056316244723,0.10796861348630275,7.615562872056526e-20,0.004008742076410536
plot_15716,2,0.5031530589970064,6,0.003556031030042277,0.4283109802227112,0.05923841691356968,0.0032777890312189247,0.008769841799464287,9.420119524336803e-17,0.4968469410029936
plot_15717,2,0.33701035154669906,1,0.04355123190068806,0.6629896484533,0.003614729604585976,0.1384814067788262,0.13562086068164175,7.706457047902636e-17,0.01574212258095792
plot_15718,2,0.2567293775304823,1,0.0,0.7432706224695027,0.09756962910254835,0.0,0.15915974842794905,7.828355729408489e-26,1.2716137432174273e-104
plot_15721,2,0.5333732127257559,4,0.0,0.38559644898692413,0.14777676373883172,0.0,0.4666267872742441,2.7282863106800203e-25,3.4332722190345745e-95
plot_15722,2,0.4928723109259339,6,0.08658957952978316,0.20402316182934715,0.05201397804136218,0.02148772460351113,0.1287578669219281,2.294354577636469e-15,0.5071276890740661
plot_15723,2,0.5614123163555985,0,0.4385876836443884,0.10947050558788825,0.04519150781397921,0.07945607256447132,0.0764291452114904,1.3020020044894313e-14,0.25086508517776956
plot_15724,2,0.3846936946549796,0,0.6153063053450204,0.15373905955800177,0.0,0.0,4.681023228369722e-13,0.08667086579254178,0.14428376930396788
plot_15725,2,0.5619796741772398,0,0.4380203258227499,0.1078914964092349,0.04404380755951857,0.08071134919938196,0.09791701819192485,1.0199171126116854e-14,0.23141600281717972
plot_15726,2,0.2731050403906385,1,0.0005493275194001052,0.7268949596076999,0.0802290933690775,0.0009747443605981869,0.19135187514322444,9.233664684901629e-26,2.7856568445477415e-104
plot_15727,2,0.5184837953592129,4,0.0008777585355575596,0.3711749876748523,0.10106354383945686,0.042293768065043605,0.48151620464078726,2.827764525424952e-26,0.0030737372443025257
plot_15728,2,0.5788429308124361,0,0.5224025732502643,0.02627552392738898,0.0,0.0,8.00033109317212e-14,0.030164833634702765,0.421157069187564
plot_15729,2,0.5837714301720675,1,0.3423059984060584,0.41622856982666356,0.0,0.0,1.2673263445680496e-12,0.2230906490775869,0.018374782688423793
plot_15734,2,0.5031530589970064,6,0.003556031030042277,0.4283109802227112,0.05923841691356968,0.0032777890312189247,0.008769841799464287,9.420119524336803e-17,0.4968469410029936
plot_15735,2,0.12616413122882883,1,0.009430275190534486,0.8738358687711697,0.0011857477428371208,0.01225828210319178,0.09318082087078464,8.33522752309021e-17,0.010109005321482269
plot_15736,2,0.3698276846863022,1,0.007931854879848054,0.6301723153136978,0.04716531341751718,0.0035089627166079184,0.012094872599554593,2.1012052612952854e-16,0.2991266810727743
plot_15737,2,0.5296976415159472,4,0.0020025747911464648,0.3095337334305256,0.2143059347904408,0.0038553985038344003,0.4703023584840528,1.6470169961301086e-23,2.2332984237175473e-104
plot_15740,2,0.37092861504174984,5,0.24614197985249642,0.11452365167062488,0.0,0.0,3.486998523401697e-13,0.6290713849582502,0.010262983518279761
plot_15744,2,0.2757367087069218,5,0.22758262961320475,0.035086369608405284,0.0,0.0,2.1464170866945598e-10,0.7242632912930782,0.013067709270670129
plot_15749,2,0.4749882509202846,0,0.5250117490797154,0.09587372564671476,0.0,0.0,2.919148445638188e-13,0.2719034114284507,0.1072111138448273
plot_15751,2,0.29004328161690185,1,0.052971863276135414,0.7099567183811589,0.013617244217052939,0.059086949674675815,0.04021699954073302,1.3732467836820155e-15,0.12415022491024258
plot_15755,2,0.350655024491093,1,0.0068590929336610025,0.6493449755088914,0.0641987422976101,0.024580065464854417,0.02923730014231908,1.81701636089484e-16,0.2257798236526638
plot_15756,2,0.5362335082468881,3,0.1391520514143066,0.11346615162663179,0.010816424991191714,0.4637664917531119,0.12592476341216066,3.68427739659222e-15,0.14687411680259368
plot_15757,2,0.12616413122882883,1,0.009430275190534486,0.8738358687711697,0.0011857477428371208,0.01225828210319178,0.09318082087078464,8.33522752309021e-17,0.010109005321482269
plot_15758,2,0.31642668408881247,1,0.001114236443951283,0.6835733159111583,0.19868178533636394,0.0038282242684921737,0.11280243804003426,3.8600394577491416e-26,1.1636448022070586e-104
plot_15764,2,0.33453980626518964,4,0.009394806982080867,0.023556415366817105,0.04489966195233944,0.0008666278230427395,0.6654601937348104,2.492194779196853e-16,0.25582229414090923
plot_15773,2,0.4780570692697278,6,0.08663627614716794,0.20397042753627476,0.051985671304166745,0.006961534247347366,0.1285031600347686,2.2955912346259573e-15,0.5219429307302722
plot_15776,2,0.29004328161779,1,0.052971863276135414,0.7099567183816988,0.013617244217052937,0.059086949674675815,0.04021699954019315,1.3732467836820157e-15,0.12415022491024257
plot_15779,2,0.33701035154669473,1,0.043551231900688075,0.6629896484532978,0.003614729604585976,0.13848140677882623,0.1356208606816439,7.706457047902636e-17,0.01574212258095792
plot_15781,2,0.5135261832721545,3,0.016094664465930147,0.3165395760107093,0.002686073561728632,0.48647381672784545,0.05789807877085932,3.4618844391067957e-16,0.12030779046292686
plot_15782,2,0.1672082493486356,1,0.0033397843820527342,0.8327917506513627,0.0064066019941571425,0.003381001577174018,0.007721448356653888,7.114504539769778e-17,0.14635941303859948
plot_15783,2,0.35065502449110203,1,0.0068590929336610025,0.6493449755088962,0.06419874229761009,0.02458006546485442,0.029237300142314047,1.81701636089484e-16,0.2257798236526638
plot_15784,2,0.49157235683849376,6,0.14569542417743042,0.12041471166702526,0.009748460159406717,0.1115415219265809,0.10417223890804658,3.85751962607262e-15,0.5084276431615062
plot_15785,2,0.6018014112905953,2,0.00693162275009111,0.24539914050916833,0.3981985887094048,0.003063428209037516,0.07551608542541186,1.836830202427424e-16,0.2708911343968862
plot_15788,2,0.4149048542433994,4,0.07356474680662906,0.09081098105511946,0.2222848782077435,0.0,0.5850951457566006,2.0548936905731736e-25,0.028244248173907336
plot_15789,2,0.4951022609456376,2,0.07154123521439816,0.01217329634589491,0.5048977390543624,0.0,0.2562261532868464,1.8159082344460033e-25,0.15516157609849818
plot_1582,2,0.5701739223192125,2,0.0,0.19871941385369754,0.4298260776807876,0.0,0.3500663643581119,8.246256589181543e-23,0.021388144107403015
plot_1584,2,0.3712522873449541,4,0.02485104021915053,0.16759280113711883,0.10926305430304342,0.0,0.6287477126550459,8.772017101546433e-22,0.06954539168564136
plot_15873,2,0.507023752265189,6,0.08589937177316351,0.011554382437721611,0.2847279021693677,0.0,0.003907283592024056,0.12093481229291217,0.49297624773481097
plot_15879,2,0.3793079256557082,2,0.0,0.2291429171961762,0.6206920743442917,0.0017666479861700956,0.13524116112755746,4.7332345053726567e-26,0.013157199345804409
plot_15881,2,0.1507106602212062,1,0.0067565365788979275,0.8492893397787149,0.005958551220122633,0.0014370930796372998,0.0874826496545228,4.696658829506051e-12,0.04907582968340756
plot_15887,2,0.5747260286377895,1,0.08539884335131823,0.48528271294098657,0.0,0.0,0.4252739713622104,0.004044472345484857,0.0
plot_15889,2,0.10966547188385828,6,0.04257741131263539,0.006003146531004685,0.01970311697752747,0.0,0.0413817970626907,1.6182488612085187e-25,0.8903345281161417
plot_15897,2,0.5654578166288151,6,0.2457680985329604,0.011390029432326207,0.1763399639459447,0.0,0.13195972471758394,2.030064328440771e-23,0.43454218337118483
plot_15899,2,0.5918897192014352,3,0.0,0.25698939592423925,0.024763716024962565,0.4081102807985648,0.202392972838142,4.1199699079194637e-23,0.10774363441409138
plot_15914,2,0.29337664952997533,2,0.07989601776293617,0.011917194504995336,0.7066233504700247,0.04974108632920799,0.09778111849127727,0.05194045820991543,0.0021007742316431722
plot_1592,2,0.18247195555074525,1,0.0,0.8175280444488504,1.2390369697889497e-112,0.0,0.0510820778459838,0.1313898777051658,0.0
plot_1593,2,0.2436961824708651,1,0.0,0.7563038175290265,5.32673970324743e-113,0.0,0.06863996300577285,0.17505621946520053,0.0
plot_1594,2,0.570216798449017,1,0.0,0.5554561232336113,0.0,0.00815447457578281,0.006606200639622914,0.42978320155098304,0.0
plot_15942,2,0.4722837303091295,4,3.988371197000974e-16,0.1708488319238426,0.10767171002719686,0.10171133410250663,0.5277162696908705,5.981173783466508e-17,0.09205185425558297
plot_15972,2,0.37688294885869134,6,1.0145550527541318e-13,0.0004139144016406863,0.3729819352678339,0.0,0.003487099189115262,6.250568126778647e-27,0.6231170511413087
plot_15974,2,0.3224413301943465,2,7.98207590793328e-14,0.0,0.6775586698056535,0.0,0.0017943608442089636,5.060663605390552e-27,0.32064696935005776
plot_15975,2,0.3332807159333414,6,0.001026965789364552,0.01587145724959388,0.03573732653875887,0.0,0.28064496635562414,1.7809734025891925e-20,0.6667192840666586
plot_15980,2,0.2917014395164053,6,0.0,0.007026484950178608,0.14097541069076297,0.0,0.1436995438754638,2.40964188745989e-20,0.7082985604835947
plot_15981,2,0.17362285514951015,6,0.08549585429721479,0.0,0.07517736616812307,0.0,0.012949634684172316,1.7231898672602565e-21,0.8263771448504899
plot_16,2,0.3095562962792834,1,0.018637083184704015,0.6904437036701822,0.0025742583546849176,0.17070849206595987,0.007063909484759345,7.517172478024084e-26,0.11057255323970966
plot_16012,2,0.3286492957523535,4,0.0,0.0,0.16135493339586396,0.03868852531267827,0.6713507042476465,0.12860583704381137,6.74327924978302e-82
plot_16013,2,0.5210237955047522,2,0.002408097976431298,0.0013356512079148108,0.47897620449524775,0.05263968447175796,0.4514276934431146,0.013212668405533583,2.937163449066674e-81
