unit_id,t_id,func_state,p_F0,p_F1,p_F2,p_F3,p_F4,p_F5,poi_density,poi_entropy,food_density,retail_density,office_density,residential_service_density,public_service_density,entertainment_density,transport_service_density,dianping_heat,meituan_heat,avg_rating,housing_price,aoi_dominant_function,service_accessibility,station_proximity
plot_10552,WE_MD,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0136662349423069,1.966552156162032,0.0037381943404091,0.0020589965453996,0.0003627257027115,0.0012237750812689,5.122959655145283e-05,0.0,0.0021662515929105,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WE_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0117460220750243,1.966552156162032,0.0028844609792619,0.0018570627919255,0.0002659808177671,0.001195686449026,2.462055565335524e-05,0.0,0.0020778384099142,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10552,WE_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0176977861422172,1.966552156162032,0.005212559468571,0.0020182785087516,9.458587156892648e-05,0.0031316227050569,1.6590192200710234e-05,0.0,0.0024857072121238,0.0,0.0,3.6666666666666665,69257.0,UNKNOWN,0.901890725670466,0.0237493527857291
plot_10499,WD_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0876791347730489,2.4443514773144166,0.0087491935779012,0.0061152685258766,0.0095530123800838,0.0112289056989936,0.0095472530747013,0.0055874176368237,0.0129127424368111,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WD_PM,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.0912389883640461,2.4443514773144166,0.0188729459107557,0.009701089924826,0.0077445938585952,0.0087108960814391,0.0089282282454957,0.0089549816203272,0.0063504636788932,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WD_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0780190418704957,2.4443514773144166,0.0148024544191383,0.0090264521417896,0.0053640980512194,0.0085611661593627,0.0043156292310248,0.011019344797733,0.0061910703579233,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WD_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.1130296543669827,2.4443514773144166,0.026341792541127,0.0095010888682383,0.0020598415140064,0.0224288199275021,0.0030349553394547,0.016666036455198,0.0074268290196499,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WE_AM,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0856069631307295,2.4443514773144166,0.0091187872208905,0.0062262995013558,0.0074227156878536,0.011334149830315,0.0092767927761234,0.0058865707425531,0.0123563059297805,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WE_MD,F4,0.0,0.0,0.0,0.0,1.0,0.0,0.092556566567184,2.4443514773144166,0.0194415515153546,0.0101134906908917,0.007188864286709,0.0088161402127605,0.0088804999575113,0.009482898865732,0.0063841871035617,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WE_EVE,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.0783722775602613,2.4443514773144166,0.0150014663807479,0.0091216215493432,0.005271476455905,0.0086137882250234,0.0042679009430404,0.0111425254883275,0.0061236235085863,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10499,WE_NT,F0,1.0,0.0,0.0,0.0,0.0,0.0,0.1148406222633705,2.4443514773144166,0.0271094101073356,0.009913489634304,0.0018745983233777,0.0225603750916539,0.0028758610461736,0.0172467454251432,0.0073256587456443,0.0,0.0,19.33333333333333,84465.0,UNKNOWN,0.9719861601244272,0.0233864145500843
plot_10500,WD_AM,F1,0.0,1.0,0.0,0.0,0.0,0.0,0.0969599599021077,2.597704545144308,0.0229032880007089,0.0139878390158571,0.0024279119046888,0.0191985775856979,0.0013235171830369,0.0086738205599631,0.0135959960702533,0.0,560.4327819715089,4.5,89000.0,UNKNOWN,0.9638511490704365,0.0240084362495879
plot_10500,WD_PM,F1,0.0,1.0,0.0,0.0,0.0,0.0,0.1238871616142497,2.597704545144308,0.0494048407738543,0.0221899142404982,0.0019682997234949,0.0148934204938109,0.0012377029711616,0.0139015747061,0.0066864865960914,0.0,1042.9838502689836,4.5,89000.0,UNKNOWN,0.9638511490704365,0.0240084362495879
plot_10500,WD_EVE,F1,0.0,1.0,0.0,0.0,0.0,0.0,0.1112209057572443,2.597704545144308,0.0387492714225918,0.0206467727311438,0.0013632932731904,0.0146374203453599,0.0005982673129314,0.0171062601145085,0.0065186592754324,0.0,1027.2216129908538,4.5,89000.0,UNKNOWN,0.9638511490704365,0.0240084362495879
