unit_id,worldpop_sum,worldpop_mean_pixel,worldpop_pixel_count,unit_area_m2,worldpop_density_per_km2
plot_7236,0.0,0.0,0,451.9885337372045,0.0
plot_16773,0.0,0.0,0,453.6578899513381,0.0
plot_18301,213.97865295410156,213.97865295410156,1,2477.812147709647,86357.89971079593
plot_18300,217.62351989746094,217.62351989746094,1,4148.418022513132,52459.39987639518
plot_18739,0.0,0.0,0,5579.010596477625,0.0
plot_18438,0.0,0.0,0,1631.3224592688052,0.0
plot_18367,0.0,0.0,0,1929.590071976243,0.0
plot_18437,0.0,0.0,0,3533.3629765105597,0.0
plot_18436,228.31117248535156,228.31117248535156,1,6933.237783336142,32929.94984739909
plot_6617,0.0,0.0,0,1446.5884251908042,0.0
plot_18288,0.0,0.0,0,3487.0421899486914,0.0
plot_19068,260.7699279785156,260.7699279785156,1,8931.794844999096,29195.691627928565
plot_19069,251.6821746826172,251.6821746826172,1,562.0274052420897,447811.21407096996
plot_19070,230.37171936035156,230.37171936035156,1,5757.207139190643,40014.49206024878
plot_19013,0.0,0.0,0,644.3495540193101,0.0
plot_19014,0.0,0.0,0,860.6190893832729,0.0
plot_19015,0.0,0.0,0,364.22832124488116,0.0
plot_6446,475.4961853027344,237.7480926513672,2,13230.951630118165,35938.16972471902
plot_19460,242.34567260742188,242.34567260742188,1,5521.841575681718,43888.55951150722
plot_6623,0.0,0.0,0,6299.298759382852,0.0
plot_18441,0.0,0.0,0,4103.735781107964,0.0
plot_18292,0.0,0.0,0,758.26622608483,0.0
plot_18291,0.0,0.0,0,1594.2838374270198,0.0
plot_6558,182.33226013183594,182.33226013183594,1,3043.0485304631275,59917.63138397482
plot_18289,231.2455596923828,231.2455596923828,1,2243.2699654618864,103084.14201264878
plot_10618,0.0,0.0,0,2122.1010176491077,0.0
plot_10178,0.0,0.0,0,3340.913395743546,0.0
plot_10177,0.0,0.0,0,1100.9615369988846,0.0
plot_10153,0.0,0.0,0,1104.8004936114105,0.0
plot_6447,0.0,0.0,0,5620.393409137335,0.0
plot_6377,0.0,0.0,0,1387.8945072541255,0.0
plot_6378,481.34226989746094,240.67113494873047,2,12747.068036182001,37761.01834015412
plot_6557,238.7015380859375,238.7015380859375,1,4812.773075859088,49597.505289261724
plot_6252,522.6095581054688,261.3047790527344,2,11561.753153726779,45201.58415049818
plot_10152,247.7948455810547,247.7948455810547,1,4075.2380514169904,60804.99898524813
plot_16466,258.4664001464844,258.4664001464844,1,10988.159590931167,23522.264853142817
plot_10154,0.0,0.0,0,1690.5185054383035,0.0
plot_16673,0.0,0.0,0,1245.3438470850692,0.0
plot_16468,515.7379608154297,257.86898040771484,2,6828.813819002931,75523.7987862923
plot_16467,259.5504150390625,259.5504150390625,1,12511.53917153704,20744.882902139114
plot_6620,273.55877685546875,273.55877685546875,1,5915.519128380085,46244.25530855827
plot_6512,0.0,0.0,0,4576.700571421472,0.0
plot_6614,270.5166931152344,270.5166931152344,1,3689.501577268617,73320.66065018495
plot_6511,0.0,0.0,0,6797.506670832035,0.0
plot_6559,0.0,0.0,0,3477.272650838843,0.0
plot_16757,481.75779724121094,240.87889862060547,2,13129.338701599507,36693.22638333032
plot_6441,0.0,0.0,0,4148.456186127231,0.0
plot_7024,211.6636199951172,211.6636199951172,1,1225.4973509857355,172716.50552721668
plot_7159,0.0,0.0,0,957.2462404656782,0.0
plot_6442,0.0,0.0,0,622.3482855316483,0.0
plot_6381,211.8248291015625,211.8248291015625,1,1236.530062119294,171305.8465707781
plot_6382,0.0,0.0,0,3299.283121802934,0.0
plot_7253,0.0,0.0,0,5984.913713936248,0.0
plot_19149,218.5965118408203,218.5965118408203,1,4432.077729015226,49321.452647309685
plot_7250,211.36390686035156,211.36390686035156,1,3782.2981249216778,55882.40267673992
plot_19153,217.264892578125,217.264892578125,1,3935.068878619372,55212.47512555686
plot_6323,801.9281921386719,267.3093973795573,3,15696.440832969054,51089.81078400201
plot_6325,0.0,0.0,0,5298.397093708236,0.0
plot_6603,0.0,0.0,0,3982.584337707604,0.0
plot_6356,0.0,0.0,0,9157.643673306531,0.0
plot_6322,0.0,0.0,0,3285.6788624288615,0.0
plot_6357,0.0,0.0,0,5746.421683315633,0.0
plot_10617,253.30101013183594,253.30101013183594,1,14897.560739672906,17002.851309562604
plot_7025,0.0,0.0,0,8573.418420672537,0.0
plot_6358,1513.248046875,504.416015625,3,13268.764142131688,114045.89234275815
plot_6713,0.0,0.0,0,2302.394148754994,0.0
plot_6770,0.0,0.0,0,1869.7608945054787,0.0
plot_6769,505.28875732421875,505.28875732421875,1,2695.7471736400644,187439.2236279072
plot_6602,605.8672485351562,605.8672485351562,1,3657.5164761842743,165649.90273597641
plot_18995,0.0,0.0,0,4340.102619384897,0.0
plot_18890,251.96090698242188,251.96090698242188,1,2091.089583403733,120492.64124413891
